episode_index,task_index,jerk_score_ep,act_state_agree,act_lag,act_lag_gain,goal_dist,z_jerk,z_agree,z_goal,flag_noise,flag_misaligned,flag_label,truth
0,0,0.09958027,0.9789894,1,0.0058284877,0.017030895,-0.410950243473053,0.8697033,1.0774192810058594,False,False,False,clean
1,1,0.09162035,0.9375334,1,0.0040809265,0.012736678,0.9493332505226135,-0.34047565,0.5656763911247253,False,False,False,clean
2,2,0.11022981,0.6542805,6,0.18535581,0.027112603,0.0,-8.609154,1.863586664199829,False,True,False,misaligned
3,2,0.10686654,0.95838696,1,0.004176554,0.010093212,-0.16428899765014648,0.26827908,-0.7250600457191467,False,False,False,clean
4,1,0.06682747,0.9578542,1,0.0069707516,0.01251471,-1.3179279565811157,0.2527272,0.5092738270759583,False,False,False,clean
5,1,0.081486605,0.9722645,1,0.007413173,0.012108684,0.022621892392635345,0.67339116,0.40610140562057495,False,False,False,clean
6,3,0.08949117,0.90703756,2,0.012304499,0.014581859,-0.1382858008146286,-1.2307054,-0.32200613617897034,False,False,False,clean
7,4,0.11551733,0.97397757,1,0.0123292785,0.010612965,-0.5661977529525757,0.7233979,-0.09783763438463211,False,False,False,clean
8,5,0.10408163,0.9212873,2,0.027092626,0.014493823,0.2722916901111603,-0.8147289,0.16729363799095154,False,False,False,clean
9,4,0.11104718,0.90987146,1,0.012710947,0.011224866,-0.8628150224685669,-1.1479785,0.06649501621723175,False,False,False,clean
10,6,0.068360224,0.9541575,1,0.0014442541,0.013705134,0.35589197278022766,0.14481251,-0.23079679906368256,False,False,False,clean
11,1,0.08139171,0.97119445,1,0.0074670315,0.0077586174,0.013943648897111416,0.64215344,-0.6992613673210144,False,False,False,clean
12,7,0.61746716,0.8829872,1,0.010476136,0.006049514,34.10893249511719,-1.9327799,-2.2512154579162598,True,False,False,action_noise
13,5,0.09704324,0.96943057,1,0.0074953614,0.009028375,0.0,0.59066254,-1.0303945541381836,False,False,False,clean
14,8,0.08700876,0.9104361,1,0.007005308,0.010321915,-0.5892577767372131,-1.1314957,-0.9648527503013611,False,False,False,clean
15,8,0.10470557,0.90978634,1,0.00468516,0.013179064,0.753994345664978,-1.1504632,-0.09857349097728729,False,False,False,clean
16,8,0.09994744,0.8195716,1,0.009908992,0.017257333,0.39283472299575806,-3.7839987,1.1379458904266357,False,False,False,clean
17,7,0.13226119,0.9391441,1,0.008227727,0.012498856,0.13027702271938324,-0.29345644,0.8548972010612488,False,False,False,clean
18,0,0.09170807,0.9801934,1,0.002384522,0.012280107,-1.415941596031189,0.90484893,-0.24279077351093292,False,False,False,clean
19,1,0.069462135,0.96383893,1,0.0025558516,0.015497446,-1.0769927501678467,0.42743242,1.2671945095062256,False,False,False,clean
20,1,0.065315366,0.96929216,1,0.0020290113,0.10465813,-1.4562069177627563,0.5866223,23.923147201538086,False,False,True,label_swap
21,1,0.0775487,0.9330778,2,0.015669324,0.008020282,-0.3374921977519989,-0.47054192,-0.6327717900276184,False,False,False,clean
22,0,0.09334058,0.9291195,1,0.008317022,0.013153791,-1.2075297832489014,-0.58609164,0.0,False,False,False,clean
23,6,0.06876217,0.9454725,1,0.0018040058,0.039443016,0.3993111550807953,-0.10871857,3.5842459201812744,False,False,True,clean
24,7,0.12016894,0.9546964,1,0.004266851,0.009412885,-0.7165350914001465,0.16054532,-0.631358802318573,False,False,False,clean
25,4,0.123686984,0.9299183,1,0.009524727,0.016499043,-0.024100210517644882,-0.56277424,1.4829317331314087,False,False,False,clean
26,5,0.12763573,0.67508644,7,0.3120384,0.012670577,1.1835205554962158,-8.001789,-0.23224924504756927,False,True,False,misaligned
27,9,0.087887675,0.9421766,1,0.004809507,0.0093045235,0.4350225329399109,-0.20493197,0.6769951581954956,False,False,False,clean
28,9,0.06777656,0.76708883,7,0.22163597,0.0062566996,-0.7370960116386414,-5.3160686,-0.4563688337802887,False,True,False,misaligned
29,4,0.109319195,0.9624085,1,0.010758719,0.010007143,-0.9774754643440247,0.38567486,-0.2605375349521637,False,False,False,clean
30,4,0.11026849,0.9746854,1,0.00737645,0.013533473,-0.9144850373268127,0.74406004,0.6864961981773376,False,False,False,clean
31,8,0.101770155,0.91427076,1,0.006717177,0.008371949,0.5311855673789978,-1.0195547,-1.5560767650604248,False,False,False,clean
32,8,0.08555754,0.9224611,1,0.0024583067,0.015089214,-0.6994103193283081,-0.7804637,0.4805785119533539,False,False,False,clean
33,0,0.108278416,0.96309084,1,0.0019328326,0.011496782,0.6994835734367371,0.40559405,-0.460470974445343,False,False,False,clean
34,2,0.11486716,0.84324646,1,0.009957816,0.01574552,0.22652477025985718,-3.092886,0.1346551775932312,False,False,False,clean
35,2,0.06849402,0.9425013,1,0.002072379,0.010049939,-2.0387072563171387,-0.19545262,-0.7316418290138245,False,False,False,clean
36,8,0.078665175,0.70446146,7,0.20981097,0.011244893,-1.22256600856781,-7.144278,-0.6850084662437439,False,True,False,misaligned
37,1,0.09964721,0.9619319,1,0.007872121,0.008990407,1.683374285697937,0.37176207,-0.3862605392932892,False,False,False,clean
38,3,0.5761098,0.83734757,1,0.0020304455,0.01009959,34.54153823852539,-3.2650857,-0.8700644373893738,True,False,False,action_noise
39,5,0.0814602,0.9603571,1,0.008266082,0.016836166,-0.6028552651405334,0.32579204,0.6805904507637024,False,False,False,clean
40,3,0.096104324,0.93556756,2,0.01302137,0.009946644,0.3330132067203522,-0.39786163,-0.8887655138969421,False,False,False,clean
41,4,0.13963075,0.6468762,8,0.3146464,0.008689821,1.0338490009307861,-8.825298,-0.6143185496330261,False,True,False,misaligned
42,7,0.13581234,0.962346,1,0.009884691,0.010731399,0.37896209955215454,0.38385138,0.00366009259596467,False,False,False,clean
43,7,0.10889574,0.9636094,1,0.0050244415,0.014566541,-1.5059897899627686,0.42073178,1.8507294654846191,False,False,False,clean
44,2,0.5674612,0.8151076,1,0.007416574,0.007802129,22.334808349609375,-3.9143121,-1.0735334157943726,True,False,False,action_noise
45,3,0.06925161,0.96594435,1,0.0061114337,0.014089406,-1.5806975364685059,0.4888934,-0.38221967220306396,False,False,False,clean
46,6,0.05326886,0.97157663,1,0.0030414683,0.016753554,-1.274322271347046,0.6533101,0.2210606187582016,False,False,False,clean
47,9,0.06958104,0.9564787,2,0.008152256,0.00482738,-0.6319271326065063,0.21257392,-0.9878756403923035,False,False,False,clean
48,3,0.099949256,0.9381602,1,0.0045953803,0.01590401,0.6070297360420227,-0.32217813,-0.1603434979915619,False,False,False,clean
49,3,0.090963595,0.7475949,7,0.17716707,0.018158138,-0.033350858837366104,-5.8851333,0.11527445167303085,False,True,False,misaligned
50,3,0.06830542,0.9556648,1,0.0057260636,0.021048605,-1.6481298208236694,0.18881463,0.468699187040329,False,False,False,clean
51,6,0.061023694,0.9706238,1,0.002220137,0.031956077,-0.4366220533847809,0.62549496,2.4744813442230225,False,False,False,clean
52,1,0.07057866,0.97643745,1,0.0039105644,0.01273644,-0.9748889803886414,0.7952065,0.5656158328056335,False,False,False,clean
53,2,0.12403778,0.9719073,1,0.004991328,0.123653054,0.6744906902313232,0.6629635,16.547374725341797,False,False,True,label_swap
54,6,0.060056113,0.9590224,1,0.0020238895,0.015174866,-0.541143000125885,0.2868289,-0.012943279929459095,False,False,False,clean
55,9,0.08139246,0.93529385,1,0.0064189015,0.0057235956,0.05646757781505585,-0.40585157,-0.6546089053153992,False,False,False,clean
56,7,0.10997523,0.9526971,1,0.0057391487,0.0092743635,-1.4303935766220093,0.1021815,-0.6980729699134827,False,False,False,clean
57,6,0.06088946,0.9720773,1,0.0007113705,0.010969996,-0.45112234354019165,0.6679259,-0.6362174153327942,False,False,False,clean
58,0,0.1032277,0.9778983,1,0.010481201,0.015614867,0.05469203740358353,0.8378514,0.683915376663208,False,False,False,clean
59,2,0.1126148,0.93527544,1,0.0011729233,0.014860213,0.11650186032056808,-0.4063892,0.0,False,False,False,clean
60,7,0.58786505,0.90087914,1,0.0034573614,0.010345876,32.03591537475586,-1.4104809,-0.18201425671577454,True,False,False,action_noise
61,9,0.098141864,0.9505522,1,0.0063310643,0.006361723,1.032658576965332,0.039568666,-0.4173148274421692,False,False,False,clean
62,1,0.08119807,0.94733435,1,0.0023148179,0.008821487,-0.0037644105032086372,-0.054367114,-0.4291834235191345,False,False,False,clean
63,4,0.12557964,0.97500426,1,0.010945285,0.011933446,0.10148706287145615,0.75336885,0.25679177045822144,False,False,False,clean
64,9,0.0608938,0.98775345,1,0.003199112,0.009679258,-1.1382379531860352,1.1255416,0.8163439035415649,False,False,False,clean
65,7,0.109552525,0.968691,1,0.0042202426,0.008152366,-1.4599956274032593,0.56907296,-1.2384462356567383,False,False,False,clean
66,3,0.089848794,0.95207274,1,0.0043657944,0.031260192,-0.11279928684234619,0.08395531,1.7172956466674805,False,False,False,clean
67,6,0.06886276,0.9583826,1,0.0026229804,0.011069536,0.41017720103263855,0.26815206,-0.6214629411697388,False,False,False,clean
68,1,0.07874444,0.7501949,7,0.20558098,0.015019119,-0.22814372181892395,-5.8092337,1.1456502676010132,False,True,False,misaligned
69,5,0.08131115,0.96833885,1,0.008941529,0.030616403,-0.6086214780807495,0.55879325,3.7003660202026367,False,False,True,clean
70,6,0.052595295,0.820682,7,0.12643261,0.019336462,-1.3470828533172607,-3.7515848,0.6039166450500488,False,True,False,misaligned
71,5,0.10392343,0.9321469,2,0.02313783,0.014318585,0.26617154479026794,-0.49771678,0.12889239192008972,False,False,False,clean
72,3,0.61054534,0.813024,1,0.00885203,0.036482096,36.99565124511719,-3.9751363,2.355790853500366,True,False,False,action_noise
73,6,0.049570236,0.9608337,1,0.0007796341,0.023508787,-1.6738587617874146,0.33970484,1.2223669290542603,False,False,False,clean
74,4,0.12169847,0.921746,1,0.010286274,0.013700962,-0.1560482233762741,-0.80133814,0.7314772009849548,False,False,False,clean
75,8,0.093453124,0.8662287,1,0.006138407,0.012365758,-0.10010715574026108,-2.4219918,-0.34516534209251404,False,False,False,clean
76,7,0.09367099,0.9727132,1,0.0053557795,0.01196593,-2.572169303894043,0.6864879,0.5982313752174377,False,False,False,clean
77,2,0.085446425,0.96373725,1,0.011738076,0.14522839,-1.2106173038482666,0.42446402,19.828977584838867,False,False,True,label_swap
78,7,0.13358265,0.96118593,1,0.011614531,0.010812461,0.22281832993030548,0.34998634,0.042701080441474915,False,False,False,clean
79,5,0.116883464,0.952583,1,0.0062812264,0.019233406,0.7675514817237854,0.0988512,1.2059170007705688,False,False,False,clean
80,2,0.10534743,0.7398661,7,0.1884403,0.015827656,-0.23849420249462128,-6.1107516,0.14714792370796204,False,True,False,misaligned
81,9,0.093164004,0.9177055,1,0.009603103,0.011777639,0.7425382733345032,-0.919289,1.5966482162475586,False,False,False,clean
82,4,0.102256775,0.95743054,1,0.0031727785,0.008694649,-1.4461026191711426,0.2403595,-0.6130219101905823,False,False,False,clean
83,4,0.11411447,0.96529657,1,0.011063422,0.008825898,-0.6592847108840942,0.4699834,-0.5777735114097595,False,False,False,clean
84,2,0.11465804,0.9485096,1,0.0036827275,0.0061894655,0.21630990505218506,-0.020060118,-1.318819284439087,False,False,False,clean
85,0,0.09855491,0.96482205,1,0.0076832655,0.014006078,-0.5418515801429749,0.4561315,0.23684440553188324,False,False,False,clean
86,6,0.058400497,0.9604145,1,0.004855453,0.010378838,-0.7199875712394714,0.32746765,-0.723842978477478,False,False,False,clean
87,3,0.087606594,0.94101465,1,0.0060636713,0.0139786005,-0.27259403467178345,-0.23885095,-0.39576807618141174,False,False,False,clean
